case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity
NET-011,New workstations added to office fail to obtain IP address from router DHCP pool.,R1 DHCP Server pool `SALES` configured for small subnet 192.168.5.0/28 (14 usable IPs). 14 hosts active.,"R1# show ip dhcp pool SALES
Pool SALES :
 Subnet 192.168.5.0 /28
 Lease total / active / excluded: 14 / 14 / 0
 Current index                  : 192.168.5.15

R1# show ip dhcp binding
% All 14 dynamic bindings in 192.168.5.0/28 pool are allocated!",DHCP IP address pool exhaustion: /28 subnet pool is fully allocated (14/14 leases used).,Layer 7,DHCP,Medium
NET-012,DHCP Reply packets dropped at access switch SW1; clients unable to complete DHCPOFFER/DHCPACK.,DHCP Server -> SW1 (Gi0/24 uplink) -> Access ports Gi0/1-10.,"SW1# show ip dhcp snooping
Switch DHCP snooping is enabled
DHCP snooping is configured on following VLANs: 10,20

SW1# show ip dhcp snooping binding
% 0 bindings found

SW1# show ip dhcp snooping interfaces Gi0/24
Interface                  Trusted    Allow option 82  Rate limit (pps)
-----------------------    -------    ---------------  ----------------
GigabitEthernet0/24        No         Yes              unlimited","DHCP Snooping enabled on SW1, but trunk uplink port Gi0/24 to DHCP server is untrusted (`ip dhcp snooping trust` missing).",Layer 7,DHCP,High
NET-013,"PC can ping web server by IP (172.16.1.100), but browsing http://server.lab.com fails with domain lookup error.",PC (192.168.1.20) -> Router R1 -> DNS Server (172.16.1.53).,"C:\> ipconfig /all
   IPv4 Address. . . . . . . . . . . : 192.168.1.20
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 192.168.1.1
   DNS Servers . . . . . . . . . . . : 192.168.1.254

C:\> nslookup server.lab.com
DNS request timed out.
timeout was 2 seconds.
*** Request to UnKnown timed out",PC configured with non-existent DNS server IP 192.168.1.254 instead of real DNS server 172.16.1.53.,Layer 7,DNS,High
NET-014,Internal domain name `app.corp.internal` cannot be resolved by any workstation on LAN.,Clients query Server DNS1 (10.0.0.53). DNS Server running Packet Tracer DNS Service.,"C:\> nslookup app.corp.internal 10.0.0.53
Server:  dns1.corp.internal
Address:  10.0.0.53
*** dns1.corp.internal can't find app.corp.internal: Non-existent domain

DNS Server Configuration:
Service: DNS Enabled
Records:
  web.corp.internal -> 10.0.0.10 (A Record)
  mail.corp.internal -> 10.0.0.20 (A Record)
  % Missing record for app.corp.internal!",Missing DNS Host (A) Record for hostname `app.corp.internal` on primary DNS server.,Layer 7,DNS,High
NET-015,Router CLI command `ping server1` fails immediately with 'Unknown command or computer name'.,Admin executing ping on R1 targeting server1 (10.1.1.50).,"R1# ping server1
Translating ""server1""...domain server (255.255.255.255)
% Unknown command or computer name, or unable to find computer address

R1# show running-config | include domain
no ip domain lookup",DNS name resolution disabled on router via `no ip domain lookup` command.,Layer 7,DNS,Low
NET-016,All DNS queries fail across entire enterprise network; primary DNS server unreachable.,Central DNS Server (10.10.10.53) connected to Switch SW-CORE interface Gi0/10.,"SW-CORE# show interface Gi0/10
GigabitEthernet0/10 is administratively down, line protocol is down 
  Hardware is Gigabit Ethernet, address is 0002.4b11.2233
  Description: Link to Central DNS Server",Switch port Gi0/10 connected to Central DNS Server is in 'administratively down' state.,Layer 7,DNS,Critical
NET-017,OSPF neighbor adjacency fails to form between R1 and R2 across serial/gigabit link.,R1 (Gi0/0: 10.0.0.1/30) <----> (Gi0/0: 10.0.0.2/30) R2. OSPF Process 1 Area 0.,"R1# show ip ospf neighbor
% No OSPF neighbors in state FULL!

R1# show ip ospf interface Gi0/0
Gi0/0 is up, line protocol is up
  Internet Address 10.0.0.1/30, Area 0
  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5

R2# show ip ospf interface Gi0/0
Gi0/0 is up, line protocol is up
  Internet Address 10.0.0.2/30, Area 0
  Timer intervals configured, Hello 30, Dead 120, Wait 120, Retransmit 5",OSPF Hello/Dead timer mismatch: R1 has Hello 10s / Dead 40s while R2 has Hello 30s / Dead 120s.,Layer 3,Routing,High
NET-018,R2 LAN hosts cannot reach R1 LAN hosts; OSPF routes missing from routing tables.,R1 (Area 0) connected directly to R2 (Area 1). No backbone Area 0 interface present on R2.,"R1# show ip ospf interface brief
Interface           PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Gi0/0               1     0               10.0.0.1/30        1     DR    0/0

R2# show ip ospf interface brief
Interface           PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Gi0/0               1     1               10.0.0.2/30        1     DR    0/0",OSPF Area mismatch on interconnecting link: R1 Gi0/0 is in Area 0 while R2 Gi0/0 is in Area 1.,Layer 3,Routing,High
NET-019,Static routing to remote subnet 172.16.50.0/24 drops packets at router R1.,R1 (10.0.0.1/30) connected to R2 (10.0.0.2/30). Remote network behind R2 is 172.16.50.0/24.,"R1# show ip route
Gateway of last resort is not set
10.0.0.0/30 is subnetted, 1 subnets
C        10.0.0.0 is directly connected, GigabitEthernet0/0
S        172.16.50.0/24 [1/0] via 10.0.0.5

R1# show ip arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.0.0.1                -   0001.96a1.1111  ARPA   GigabitEthernet0/0
Internet  10.0.0.2               12   0002.4b22.3333  ARPA   GigabitEthernet0/0
% Next-hop 10.0.0.5 is unresolvable!",Static route next-hop IP error: R1 configured with invalid next-hop 10.0.0.5 instead of 10.0.0.2.,Layer 3,Routing,High
NET-020,R1 does not form OSPF adjacency with R2 on LAN interface Gi0/1.,R1 Gi0/1 (192.168.1.1/24) connected to R2 Gi0/0 (192.168.1.2/24).,"R1# show running-config | section router ospf
router ospf 1
 router-id 1.1.1.1
 passive-interface GigabitEthernet0/1
 network 192.168.1.0 0.0.0.255 area 0

R2# show ip ospf neighbor
% No neighbors listed.","Interface Gi0/1 configured as `passive-interface`, suppressing OSPF hello packet transmission.",Layer 3,Routing,High
NET-021,"PC1 (192.168.10.50) cannot connect to Web Server (10.2.2.100:80), but can ping it.",PC1 -> R1 Gi0/0 (192.168.10.1) -> Inbound ACL 101 -> Web Server (10.2.2.100).,"R1# show ip access-lists 101
Extended IP access list 101
    10 deny tcp host 192.168.10.50 host 10.2.2.100 eq www (42 matches)
    20 permit ip any any (150 matches)

R1# show ip interface Gi0/0
GigabitEthernet0/0 is up, line protocol is up
  Inbound access list is 101",Inbound ACL 101 rule 10 explicitly denies TCP port 80 traffic from PC1 to Web Server.,Layer 4,ACL,High
NET-022,Branch office subnets 192.168.10.0/24 and 192.168.20.0/24 are completely blocked by ACL 110.,R1 WAN interface Gi0/1 inbound ACL filtering corporate traffic.,"R1# show ip access-lists 110
Extended IP access list 110
    10 permit ip 192.168.10.0 255.255.255.0 any
    % IOS interpreted 255.255.255.0 as host match 255.255.255.0 instead of wildcard 0.0.0.255!
    20 deny ip any any (1200 matches)",ACL wildcard mask syntax error: subnet mask `255.255.255.0` was entered instead of wildcard mask `0.0.0.255`.,Layer 4,ACL,High
NET-023,Network monitoring server cannot ping WAN router R1 interface Gi0/1.,NMS (203.0.113.10) pings R1 WAN IP (203.0.113.1).,"R1# show ip access-lists SECURE_IN
Extended IP access list SECURE_IN
    10 permit tcp any host 203.0.113.1 eq 22
    20 permit tcp any host 203.0.113.1 eq 443
    % Missing permit icmp entry!
    30 deny ip any any (85 matches)

R1# show ip interface Gi0/1 | include access list
  Inbound access list is SECURE_IN","Inbound ACL SECURE_IN lacks `permit icmp any host 203.0.113.1` statement, dropping ICMP echo requests.",Layer 4,ACL,Medium
NET-024,Users on VLAN 10 report DNS resolution failure when ACL 102 is applied on router interface.,VLAN 10 hosts send UDP 53 queries to External DNS Server 8.8.8.8.,"R1# show ip access-lists 102
Extended IP access list 102
    10 permit tcp 192.168.10.0 0.0.0.255 any eq www
    20 permit tcp 192.168.10.0 0.0.0.255 any eq 443
    % Implicit deny at line 30 drops UDP port 53 (DNS) traffic!",ACL 102 only permits TCP 80/443; UDP DNS traffic (port 53) hits implicit deny at end of access list.,Layer 4,ACL,High
NET-025,All internal hosts (192.168.1.0/24) fail to reach public internet sites; pings to ISP router 203.0.113.254 fail.,LAN (192.168.1.0/24) -> R1 Gi0/0 (Inside) -> R1 Gi0/1 (Outside) -> ISP (203.0.113.254).,"R1# show ip nat translations
% No NAT translations in table

R1# show interface Gi0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 203.0.113.1/30
  % Missing 'ip nat outside' command on Gi0/1!

R1# show running-config interface Gi0/0
interface GigabitEthernet0/0
 ip address 192.168.1.1 255.255.255.0
 ip nat inside",NAT configuration incomplete: WAN interface Gi0/1 is missing the `ip nat outside` statement.,Layer 3,NAT,Critical
NET-026,"Hosts on new subnet 192.168.2.0/24 cannot access internet, while hosts on 192.168.1.0/24 have full internet access.",R1 performing NAT Overload on interface Gi0/1 using ACL 1.,"R1# show running-config | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload

R1# show ip access-lists 1
Standard IP access list 1
    10 permit 192.168.1.0 0.0.0.255 (450 matches)
    % Missing subnet 192.168.2.0 0.0.0.255!","NAT ACL 1 only permits subnet 192.168.1.0/24, omitting subnet 192.168.2.0/24 from NAT translation.",Layer 3,NAT,High
NET-027,Internal Web Server (192.168.1.100) unreachable from external internet users at public IP 203.0.113.10.,Static NAT mapping internal IP 192.168.1.100 to public IP 203.0.113.10.,"R1# show running-config | include ip nat inside source static
ip nat inside source static 192.168.1.100 203.0.113.1

R1# show ip interface brief Gi0/1
Gi0/1              203.0.113.1     YES manual up                    up",Static NAT IP conflict: Static NAT mapped public IP 203.0.113.1 is identical to router Gi0/1 interface IP.,Layer 3,NAT,High
NET-028,Only the first 5 LAN users can access internet simultaneously; 6th user connection drops.,Dynamic NAT pool `PUBLIC_POOL` contains 5 public IPs (203.0.113.10 - 203.0.113.14).,"R1# show running-config | include ip nat inside source
ip nat inside source list 10 pool PUBLIC_POOL
% Missing 'overload' keyword at end of command!

R1# show ip nat statistics
Total active translations: 5 (0 dynamic, 5 static, 5 extended)
Hits: 1200  Misses: 45
Pool PUBLIC_POOL : netmask 255.255.255.248
       start 203.0.113.10 end 203.0.113.14
       type generic, total addresses 5, allocated 5 (100%)","Dynamic NAT pool exhausted because `overload` keyword was omitted, causing 1-to-1 IP allocation without PAT port multiplexing.",Layer 3,NAT,High
NET-029,Guest Wi-Fi users connected to SSID 'Guest-Net' can successfully ping internal Corporate Database Server at 10.1.1.50.,Guest Wi-Fi (VLAN 50) -> WLC / AP -> Core Switch -> Corp DB (10.1.1.50). Guest Isolation required.,"WLC1# show wlan 2
WLAN Identifier.................................. 2
Profile Name..................................... Guest-Net
SSID............................................. Guest-Net
VLAN ID.......................................... 50
Interface Name................................... guest-vlan50
Client Peer-to-Peer Blocking..................... Disabled
ACL Name......................................... none

Core-SW# show ip access-lists GUEST_ACL
% Access list GUEST_ACL is not applied on Vlan50 interface!",Guest Wi-Fi security isolation failure: No ACL applied on Guest VLAN 50 to block access to internal 10.0.0.0/8 network.,Layer 4,Wireless,Critical
NET-030,Wireless laptop fails to authenticate and connect to SSID 'Corp-Secure'.,Laptop client connecting via WPA2-PSK to Wireless Router / Access Point.,"Laptop Client Wireless Log:
[INFO] Scanning for SSID 'Corp-Secure'... Found (RSSI -55dBm)
[INFO] Initiating 4-way WPA2 handshake...
[ERROR] WPA2 MIC verification failed! Handshake timeout.
[ERROR] Disconnected from AP.

AP-1 Configuration:
SSID: Corp-Secure
Security: WPA2-PSK (AES)
Pre-Shared Key: Cisco12345!

Laptop Profile Configuration:
SSID: Corp-Secure
Key: Cisco12345 (Typo: missing trailing '!')",WPA2 Pre-Shared Key (PSK) passphrase mismatch between Wireless Client profile and Access Point.,Layer 2,Wireless,High
NET-031,Newly deployed Lightweight Access Point AP-2 remains stuck in 'Downloading OS / Finding Controller' loop.,AP-2 receives DHCP IP in VLAN 100. Wireless LAN Controller (WLC) IP is 10.10.10.5.,"AP-2 Console Output:
*MAR 1 00:02:15.111: %DHCP-6-ADDRESS_ASSIGN: IP address 192.168.100.25 assigned.
*MAR 1 00:02:20.150: %WTP-5-OPTION43_FAIL: Option 43 not found in DHCP offer.
*MAR 1 00:02:25.200: %CAPWAP-3-ERRORLOG: Could not resolve Controller IP via Option 43 or DNS.

Router DHCP Pool Config:
ip dhcp pool AP_POOL
 network 192.168.100.0 255.255.255.0
 default-router 192.168.100.1
 % Option 43 hex statement missing!",DHCP Option 43 (WLC IP address vendor specifier) missing in DHCP server pool configuration for Lightweight APs.,Layer 7,Wireless,High
NET-032,Workstations connected to SSID 'Staff-WLAN' cannot obtain IP or reach gateway.,"SSID 'Staff-WLAN' mapped to WLC Interface 'Staff-VLAN99'. Trunk between WLC and Switch SW1 carries VLANs 10,20.","WLC1# show wlan 1
WLAN Identifier.................................. 1
Profile Name..................................... Staff-WLAN
Interface Name................................... staff-vlan99 (VLAN 99)

SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/12      on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/12      10,20","VLAN 99 mapped to Staff-WLAN SSID is omitted from the allowed VLAN list (`10,20`) on switch trunk port connected to WLC.",Layer 2,Wireless,High
